name|easting|northing|petcount
Lachlan Robbie|-122.08262605331186|37.38108534038298|3
Paul Rosenblum|-122.08168204550282|37.42132254875177|0
Michael Stent|-122.06431134241103|37.40979800447157|5
Lara Thomas|-122.07516355896355|37.373829266588864|3
Tennille Thomas|-122.05869827206605|37.417805131438705|0
Josh Torr|-122.06769397710524|37.37872529792868|3
Krystal Vayda|-122.07084886297405|37.39712525496255|4
Stephen Vining|-122.06804848473071|37.423512479951164|4
Jason Virgil|-122.06886322127876|37.41505729345903|2
Beatrice Ward|-122.06394723896373|37.41476203523878|4
Ken Watanabe|-122.07591979112404|37.3948254765673|0
Mikey Wulff|-122.07827274116455|37.397513803498576|3
Elizabeth Xu|-122.10235685982558|37.406876771011554|5
Mike Zarate|-122.08099212617333|37.41064144123354|2
Connor Zegenhagen|-122.10446492470051|37.41906608291056|0
